blk_no,street,town_code,town,lat,lon,total_dwelling_units,max_floor_lvl,year_completed
133,MARSILING RISE,WL,WOODLANDS,1.43753389486162,103.778070969184,20,4,1984
133,PASIR RIS ST 11,PRC,PASIR RIS,1.3657265970375299,103.95618804559601,24,7,1993
133,POTONG PASIR AVE 1,TP,TOA PAYOH,1.33431718995829,103.86587950418699,12,4,1983
133,RIVERVALE ST,SK,SENGKANG,1.38864259962867,103.903635505967,91,17,1997
133,SIMEI ST 1,TAP,TAMPINES,1.3473136658875702,103.95567850497,80,11,1987
133,TENGAH GDN AVE,TG,TENGAH,1.3560108968173301,103.731127833676,0,1,2024
133,TECK WHYE LANE,CCK,CHOA CHU KANG,1.3807441508401699,103.751221118009,56,15,1991
133,YISHUN ST 11,YS,YISHUN,1.4325573719989602,103.830784110499,47,4,1984
133A,CASHEW RD,BP,BUKIT PANJANG,1.3746734590479999,103.77034521082399,16,4,1988
133A,RIVERVALE ST,SK,SENGKANG,1.38844915723839,103.90414436126999,0,6,1997
133A,TENGAH GDN AVE,TG,TENGAH,1.3569057172071999,103.73176155670001,121,15,2023
133B,TENGAH GDN AVE,TG,TENGAH,1.3563371974603,103.73126534824301,121,15,2023
133C,TENGAH GDN AVE,TG,TENGAH,1.3558210580880299,103.731487224869,138,15,2023
134,ANG MO KIO AVE 3,AMK,ANG MO KIO,1.37207665479507,103.841947733195,168,13,1978
134,BEDOK NTH ST 2,BD,BEDOK,1.32832133313257,103.93658216345,154,12,1977
134,BEDOK RESERVOIR RD,BD,BEDOK,1.3328785846002098,103.912838489269,90,10,1986
134,BISHAN ST 12,BH,BISHAN,1.34541104764479,103.852079804354,60,13,1986
134,BT BATOK WEST AVE 6,BB,BUKIT BATOK,1.35159086987045,103.74450960649,111,13,1983
134,EDGEDALE PLAINS,PG,PUNGGOL,1.39233540545799,103.91018078305001,171,18,2001
134,GEYLANG EAST AVE 1,GL,GEYLANG,1.31599388873109,103.886008964798,24,4,1986
134,JLN BT MERAH,BM,BUKIT MERAH,1.2788199073588,103.82772371473801,112,17,1994
134,JURONG GATEWAY RD,JE,JURONG EAST,1.3339941384974299,103.738819152518,0,4,1988
134,LOR AH SOO,HG,HOUGANG,1.35046468321699,103.88650935289499,103,14,1983
134,MARSILING RD,WL,WOODLANDS,1.43663707059526,103.777397588342,62,9,1984
134,PASIR RIS ST 11,PRC,PASIR RIS,1.3651523836572,103.95634994424299,44,9,1993
134,PETIR RD,BP,BUKIT PANJANG,1.37438787887654,103.769399954719,8,4,1988
134,POTONG PASIR AVE 3,TP,TOA PAYOH,1.33447489186628,103.86628653937599,89,14,1984
134,RIVERVALE ST,SK,SENGKANG,1.3878646770264598,103.90467288531201,91,17,1997
134,SIMEI ST 1,TAP,TAMPINES,1.34814861594367,103.955648416036,120,11,1987
134,TECK WHYE LANE,CCK,CHOA CHU KANG,1.3802660948820298,103.75095681496799,56,15,1991
134,YISHUN ST 11,YS,YISHUN,1.4323765053830302,103.831410877391,110,12,1984
134A,JLN BT MERAH,BM,BUKIT MERAH,1.27925619858452,103.827209347314,0,6,1994
135,BEDOK NTH ST 2,BD,BEDOK,1.3287353514809799,103.93650673827801,153,12,1977
135,BEDOK RESERVOIR RD,BD,BEDOK,1.33314106418952,103.912523538101,88,12,1986
135,BISHAN ST 12,BH,BISHAN,1.3445621682942501,103.851287598109,92,25,1986
135,BT BATOK WEST AVE 6,BB,BUKIT BATOK,1.35125231918219,103.744795017835,119,13,1983
135,CASHEW RD,BP,BUKIT PANJANG,1.37404915665667,103.768885136299,90,13,1988
135,EDGEDALE PLAINS,PG,PUNGGOL,1.39209206159846,103.910022480355,156,18,2001
135,JLN BT MERAH,BM,BUKIT MERAH,1.27860068677355,103.82708537660999,123,19,1995
135,JURONG GATEWAY RD,JE,JURONG EAST,1.3337942257363,103.73969084738701,0,6,1988
135,LOR AH SOO,HG,HOUGANG,1.34975825362259,103.886810075583,194,15,1984
135,MARSILING RD,WL,WOODLANDS,1.4375695623749198,103.777763757027,16,4,1984
135,PASIR RIS ST 11,PRC,PASIR RIS,1.3645423281785198,103.95747243865499,44,9,1993
135,POTONG PASIR AVE 3,TP,TOA PAYOH,1.3346905868788799,103.866824291288,32,4,1983
135,RIVERVALE ST,SK,SENGKANG,1.38814105144965,103.90502204158301,80,17,1997
135,SERANGOON NTH AVE 2,SGN,SERANGOON,1.36725606646986,103.874813498992,80,13,1988
135,SIMEI ST 1,TAP,TAMPINES,1.3480373310329599,103.957046121852,120,11,1987
135,TECK WHYE LANE,CCK,CHOA CHU KANG,1.38045272354817,103.751556332544,16,4,1989
135,YISHUN ST 11,YS,YISHUN,1.43224778185907,103.831911841774,46,4,1985
135A,BISHAN ST 12,BH,BISHAN,1.34491958644106,103.85151796658,0,5,1987
135A,PASIR RIS ST 11,PRC,PASIR RIS,1.36478642036755,103.95687574357001,0,4,1993
135A,RIVERVALE ST,SK,SENGKANG,1.3885545776040602,103.90528195069099,0,1,1997
135A,TECK WHYE LANE,CCK,CHOA CHU KANG,1.38029790360703,103.751973587306,0,5,1989
136,BEDOK RESERVOIR RD,BD,BEDOK,1.33353806122657,103.913536944229,139,10,1986
136,BEDOK NTH AVE 3,BD,BEDOK,1.3278347391635499,103.935211634841,31,4,1978
136,BISHAN ST 12,BH,BISHAN,1.34413413892598,103.85174046208799,80,9,1986
136,BT BATOK WEST AVE 6,BB,BUKIT BATOK,1.3509004287051498,103.74485764967,118,13,1983
136,EDGEDALE PLAINS,PG,PUNGGOL,1.39174362965837,103.909812511442,0,1,2001
136,JLN BT MERAH,BM,BUKIT MERAH,1.27828763907528,103.82753724677099,88,10,1974
136,LOR AH SOO,HG,HOUGANG,1.3496643673542401,103.88630211152001,8,4,1984
136,MARSILING RD,WL,WOODLANDS,1.4383214574873602,103.77775202980699,16,4,1984
136,PASIR RIS ST 11,PRC,PASIR RIS,1.36467287496198,103.957739722389,50,8,1993
136,PETIR RD,BP,BUKIT PANJANG,1.37461056095477,103.768753597677,38,4,1987
136,POTONG PASIR AVE 3,TP,TOA PAYOH,1.3339825483869399,103.866520142842,82,14,1984
136,RIVERVALE ST,SK,SENGKANG,1.3889707154803201,103.904967353773,80,17,1997
136,SERANGOON NTH AVE 2,SGN,SERANGOON,1.36810159794644,103.874987831018,72,13,1988
136,SIMEI ST 1,TAP,TAMPINES,1.3479360724203402,103.95633980827101,100,11,1987
136,TAMPINES ST 11,TAP,TAMPINES,1.34467783712254,103.945212390484,0,2,1984
136,TECK WHYE LANE,CCK,CHOA CHU KANG,1.37990613707131,103.751696104326,39,6,1989
136,YISHUN RING RD,YS,YISHUN,1.4320312912560502,103.83143616397301,110,12,1984
136A,TAMPINES ST 11,TAP,TAMPINES,1.34496202089476,103.945632285692,0,6,2016
137,BEDOK NTH AVE 3,BD,BEDOK,1.3288306619399999,103.93550973127701,96,13,1978
137,BEDOK RESERVOIR RD,BD,BEDOK,1.3339020291347399,103.913274271807,70,11,1986
137,BISHAN ST 12,BH,BISHAN,1.3444461693387602,103.851797492955,48,13,1987
137,BT BATOK WEST AVE 6,BB,BUKIT BATOK,1.35051222398061,103.744948500644,16,4,1983
137,EDGEDALE PLAINS,PG,PUNGGOL,1.39238820029102,103.909391089333,0,5,2001
137,JLN BT MERAH,BM,BUKIT MERAH,1.27814726027804,103.826958969986,89,10,1974
137,LOR AH SOO,HG,HOUGANG,1.3490532162175801,103.88664017294,132,11,1984
137,MARSILING RD,WL,WOODLANDS,1.4384561474713897,103.777081265974,86,12,1984
137,PASIR RIS ST 11,PRC,PASIR RIS,1.3651588332777602,103.95723054886,32,8,1993
137,PETIR RD,BP,BUKIT PANJANG,1.37499058666439,103.769509869284,132,12,1987
137,POTONG PASIR AVE 3,TP,TOA PAYOH,1.3338575937419699,103.865845367722,82,14,1983
137,RIVERVALE ST,SK,SENGKANG,1.38910272534233,103.904819113359,80,17,1997
137,SERANGOON NTH AVE 2,SGN,SERANGOON,1.3677849524973702,103.87501173630501,56,13,1988
137,SIMEI ST 1,TAP,TAMPINES,1.34758009360407,103.956310473029,100,11,1987
137,TAMPINES ST 11,TAP,TAMPINES,1.34578611181876,103.94458888529499,0,1,2006
137,TECK WHYE LANE,CCK,CHOA CHU KANG,1.3800477264564,103.75246458364799,39,6,1989
137,YISHUN RING RD,YS,YISHUN,1.43198319567797,103.830253382367,200,12,1984
137A,PASIR RIS ST 11,PRC,PASIR RIS,1.3650098688819599,103.95693217761499,0,1,1993
137A,TAMPINES ST 11,TAP,TAMPINES,1.34599878158925,103.94442235372101,0,1,1983
137B,TAMPINES ST 11,TAP,TAMPINES,1.34602697317976,103.94448437530599,0,1,1983
137C,TAMPINES ST 11,TAP,TAMPINES,1.34601612721816,103.944803238335,0,1,1983
137D,TAMPINES ST 11,TAP,TAMPINES,1.34598323713447,103.944863707701,0,1,1983
138,BEDOK RESERVOIR RD,BD,BEDOK,1.3343011107904499,103.91316583986,32,4,1986
138,BEDOK NTH ST 2,BD,BEDOK,1.3300101118899998,103.936343483972,239,12,1977
138,BISHAN ST 12,BH,BISHAN,1.3447632635553899,103.852206845531,105,9,1986
138,BT BATOK WEST AVE 6,BB,BUKIT BATOK,1.3504471197373,103.744471903926,131,12,1983
138,EDGEDALE PLAINS,PG,PUNGGOL,1.39277115890645,103.90979621369699,160,17,2002
138,JLN BT MERAH,BM,BUKIT MERAH,1.27842357024924,103.826237590943,88,10,1975
138,LOR 1A TOA PAYOH,TP,TOA PAYOH,1.33669264885386,103.844796096205,0,7,2012
138,LOR AH SOO,HG,HOUGANG,1.3515974230957999,103.88426046980601,120,13,1984
138,MARSILING RD,WL,WOODLANDS,1.43809995341554,103.777263836104,55,12,1984
138,PASIR RIS ST 11,PRC,PASIR RIS,1.3634070730580101,103.95981027650801,50,11,1993
138,PETIR RD,BP,BUKIT PANJANG,1.3745703552960602,103.769825791429,32,4,1988
138,POTONG PASIR AVE 3,TP,TOA PAYOH,1.3335622101512299,103.86545856201401,32,4,1983
138,RIVERVALE ST,SK,SENGKANG,1.38864118996625,103.904623542393,63,17,1997
138,SERANGOON NTH AVE 2,SGN,SERANGOON,1.3682269987459201,103.875548830412,22,4,1988
138,SIMEI ST 1,TAP,TAMPINES,1.34721811835571,103.956900531765,80,11,1987
138,TAMPINES ST 11,TAP,TAMPINES,1.345281447856,103.945344290094,83,4,1983
138,TECK WHYE LANE,CCK,CHOA CHU KANG,1.3802408503449,103.75243576845502,0,1,1989
138,YISHUN RING RD,YS,YISHUN,1.43160991206918,103.83061406873199,110,12,1984
138,YUAN CHING RD,JW,JURONG WEST,1.32792499717978,103.723396367153,0,7,2014
